Artist,Album,Location,Art
A Tribe Called Quest,Midnight Marauders,1,/assets/img/A Tribe Called QuestMidnight Marauders.jpg
American Football,American Football,1,/assets/img/American FootballAmerican Football.jpg
Anderson .Paak,Malibu,1,/assets/img/Anderson .PaakMalibu.jpg
Angel Olsen,Phases,1,/assets/img/Angel OlsenPhases.jpg
Arcade Fire,Reflektor,1,/assets/img/Arcade FireReflektor.jpg
The Avalanches,We Will Always Love You,1,/assets/img/The AvalanchesWe Will Always Love You.jpg
The Avalanches,Wildflower,1,/assets/img/The AvalanchesWildflower.jpg
Avenged Sevenfold,City of Evil,1,/assets/img/Avenged SevenfoldCity of Evil.jpg
Beabadobee,Loveworm,1,/assets/img/BeabadobeeLoveworm.jpg
Beach House,Depression Cherry,1,/assets/img/Beach HouseDepression Cherry.jpg
Beatles,Abbey Road,1,/assets/img/BeatlesAbbey Road.jpg
Beatles,Hey Jude,1,/assets/img/BeatlesHey Jude.jpg
Beethoven,Sonatas Pathetique Appassionata Moonlight Buchbinder,1,/assets/img/BeethovenSonatas Pathetique Appassionata Moonlight Buchbinder.jpg
Billy Joel,Turnstiles,1,/assets/img/Billy JoelTurnstiles.jpg
Bjork,Vulnicura,1,/assets/img/BjorkVulnicura.jpg
"Black Country, New Road",For the First Time,1,"/assets/img/Black Country, New RoadFor the First Time.jpg"
Blackpink,The Album,1,/assets/img/BlackpinkThe Album.jpg
Bloc Party,Silent Alarm,1,/assets/img/Bloc PartySilent Alarm.jpg
Blue Oyster Cult,Tyranny and Mutation,1,/assets/img/Blue Oyster CultTyranny and Mutation.jpg
Bon Iver,Blood Bank,1,/assets/img/Bon IverBlood Bank.jpg
Bon Iver,"i,i",1,"/assets/img/Bon Iveri,i.jpg"
Boston,Boston,1,/assets/img/BostonBoston.jpg
Bright Eyes,"I'm Wide Awake, It's Morning",1,"/assets/img/Bright EyesI'm Wide Awake, It's Morning.jpg"
Charli XCX,Charli,1,/assets/img/Charli XCXCharli.jpg
Charli XCX,How I'm Feeling Now,1,/assets/img/Charli XCXHow I'm Feeling Now.jpg
Charli XCX,Vroom Vroom,1,/assets/img/Charli XCXVroom Vroom.jpg
Cheap Trick,In Color,1,/assets/img/Cheap TrickIn Color.jpg
Cheech and Chong,Cheech and Chong,1,/assets/img/Cheech and ChongCheech and Chong.jpg
Childish Gambino,Camp,1,/assets/img/Childish GambinoCamp.jpg
Chrome Sparks,Chrome Sparks,1,/assets/img/Chrome SparksChrome Sparks.jpg
Cocteau Twins,Heaven or Las Vegas,1,/assets/img/Cocteau TwinsHeaven or Las Vegas.jpg
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",1,"/assets/img/Courtney BarnettSometimes I Sit and Think, and Sometimes I Just Sit.jpg"
The Cure,Disintegration,1,/assets/img/The CureDisintegration.jpg
Daft Punk,Discovery,2,/assets/img/Daft PunkDiscovery.jpg
D'Angelo,Black Messiah,2,/assets/img/D'AngeloBlack Messiah.jpg
Earl Sweatshirt,Doris,2,/assets/img/Earl SweatshirtDoris.jpg
Earl Sweatshirt," I Don't Like Shit, I Don't Go Outside",2,"/assets/img/Earl Sweatshirt I Don't Like Shit, I Don't Go Outside.jpg"
Father John Misty,Pure Comedy,2,/assets/img/Father John MistyPure Comedy.jpg
Fiona Apple,Tidal,2,/assets/img/Fiona AppleTidal.jpg
Fiona Apple,Fetch the Bolt Cutters,2,/assets/img/Fiona AppleFetch the Bolt Cutters.jpg
FKA Twigs,LP1,2,/assets/img/FKA TwigsLP1.jpg
FKA Twigs,Magdalene,2,/assets/img/FKA TwigsMagdalene.jpg
Flume,Flume,2,/assets/img/FlumeFlume.jpg
Flume,Skin,2,/assets/img/FlumeSkin.jpg
Frank Ocean,Blonde,2,/assets/img/Frank OceanBlonde.jpg
Frank Ocean,Endless,2,/assets/img/Frank OceanEndless.jpg
Frank Sinatra,Love is a Kick,2,/assets/img/Frank SinatraLove is a Kick.jpg
Frank Sinatra,Songs for Swingin' Lovers!,2,/assets/img/Frank SinatraSongs for Swingin' Lovers!.jpg
Frank Sinatra,This is Sinatra!,2,/assets/img/Frank SinatraThis is Sinatra!.jpg
Gorillaz,Demon Days,2,/assets/img/GorillazDemon Days.jpg
Gorillaz,Gorillaz,2,/assets/img/GorillazGorillaz.jpg
Gorillaz,Humanz,2,/assets/img/GorillazHumanz.jpg
Gorillaz,Plastic Beach,2,/assets/img/GorillazPlastic Beach.jpg
Hall and Oates,Voices,3,/assets/img/Hall and OatesVoices.jpg
Herb Albert and the Tijuana Brass,What Now My Love,3,/assets/img/Herb Albert and the Tijuana BrassWhat Now My Love.jpg
Huey Lewis and the News,Sports,3,/assets/img/Huey Lewis and the NewsSports.jpg
I the Mighty,Satori / Karma Never Sleeps,3,/assets/img/I the MightySatori / Karma Never Sleeps.jpg
I the Mighty,Connector,3,/assets/img/I the MightyConnector.jpg
Interpol,Turn on the Bright Lights,3,/assets/img/InterpolTurn on the Bright Lights.jpg
J Dilla,Donuts,3,/assets/img/J DillaDonuts.jpg
Jamie XX,idontknow,3,/assets/img/Jamie XXidontknow.jpg
Japanese Breakfast,Jubilee,3,/assets/img/Japanese BreakfastJubilee.jpg
Jay Som,Turn Into,3,/assets/img/Jay SomTurn Into.jpg
Jay Som,Everybody Works,3,/assets/img/Jay SomEverybody Works.jpg
Jeff Buckley,Grace,3,/assets/img/Jeff BuckleyGrace.jpg
Jeff Buckley,You and I,3,/assets/img/Jeff BuckleyYou and I.jpg
Kanye West,Jesus is King,3,/assets/img/Kanye WestJesus is King.jpg
Kanye West,ye,3,/assets/img/Kanye Westye.jpg
Kanye West,My Beautiful Dark Twisted Fantasy,3,/assets/img/Kanye WestMy Beautiful Dark Twisted Fantasy.jpg
Kendrick Lamar,DAMN.,3,/assets/img/Kendrick LamarDAMN..jpg
Kendrick Lamar,"good kid, m.A.A.D city",3,"/assets/img/Kendrick Lamargood kid, m.A.A.D city.jpg"
Kendrick Lamar,To Pimp a Butterfly,3,/assets/img/Kendrick LamarTo Pimp a Butterfly.jpg
Kendrick Lamar,untitled. unmastered.,3,/assets/img/Kendrick Lamaruntitled. unmastered..jpg
Kero Kero Bonito,Time 'n' Place,3,/assets/img/Kero Kero BonitoTime 'n' Place.jpg
Kid Cudi,Man on the Moon,3,/assets/img/Kid CudiMan on the Moon.jpg
Kids See Ghosts,Kids See Ghosts,3,/assets/img/Kids See GhostsKids See Ghosts.jpg
Linda Ronstadt,Simple Dreams,3,/assets/img/Linda RonstadtSimple Dreams.jpg
Lorde,Pure Heroine,3,/assets/img/LordePure Heroine.jpg
Lynyrd Skynyrd,Street Survivors,3,/assets/img/Lynyrd SkynyrdStreet Survivors.jpg
Mae,Destination: Beautiful,3,/assets/img/MaeDestination: Beautiful.jpg
Mae,The Everglow,3,/assets/img/MaeThe Everglow.jpg
Mae,(m)(a)(e),3,/assets/img/Mae(m)(a)(e).jpg
Melody's Echo Chamber,Bon Voyage,4,/assets/img/Melody's Echo ChamberBon Voyage.jpg
Melody's Echo Chamber,Melody's Echo Chamber,4,/assets/img/Melody's Echo ChamberMelody's Echo Chamber.jpg
Men I Trust,Oncle Jazz,4,/assets/img/Men I TrustOncle Jazz.jpg
MGMT,Oracular Spectacular,4,/assets/img/MGMTOracular Spectacular.jpg
Mitski,Bury Me at Makeout Creek,4,/assets/img/MitskiBury Me at Makeout Creek.jpg
Mitski,Puberty 2,4,/assets/img/MitskiPuberty 2.jpg
Mitski,Be the Cowboy,4,/assets/img/MitskiBe the Cowboy.jpg
Neon Genesis Evangelion,Evangelion Finally,4,/assets/img/Neon Genesis EvangelionEvangelion Finally.jpg
No Vacation,Intermission,4,/assets/img/No VacationIntermission.jpg
NxWorries,Yes Lawd!,4,/assets/img/NxWorriesYes Lawd!.jpg
Odesza,A Moment Apart,4,/assets/img/OdeszaA Moment Apart.jpg
Odesza,Light EP,4,/assets/img/OdeszaLight EP.jpg
Phoebe Bridgers,Punisher,4,/assets/img/Phoebe BridgersPunisher.jpg
Phoenix,Bankrupt!,4,/assets/img/PhoenixBankrupt!.jpg
Police,Zenyatta Mondatta,4,/assets/img/PoliceZenyatta Mondatta.jpg
Poppy,I Disagree,4,/assets/img/PoppyI Disagree.jpg
